Location,Variant,Time,AgeGrp,ASFR
China,Medium,1950,10-14,1.439
China,Medium,1950,15-19,83.816
China,Medium,1950,20-24,265.994
China,Medium,1950,25-29,273.484
China,Medium,1950,30-34,229.202
China,Medium,1950,35-39,187.078
China,Medium,1950,40-44,103.184
China,Medium,1950,45-49,17.428
China,Medium,1950,50-54,0.593
China,Medium,1951,10-14,1.338
China,Medium,1951,15-19,82.494
China,Medium,1951,20-24,262.606
China,Medium,1951,25-29,269.247
China,Medium,1951,30-34,224.32
China,Medium,1951,35-39,182.714
China,Medium,1951,40-44,99.881
China,Medium,1951,45-49,16.551
China,Medium,1951,50-54,0.574
China,Medium,1952,10-14,1.684
China,Medium,1952,15-19,95.751
China,Medium,1952,20-24,293.03
China,Medium,1952,25-29,298.365
China,Medium,1952,30-34,256.749
China,Medium,1952,35-39,209.172
China,Medium,1952,40-44,118.348
China,Medium,1952,45-49,20.903
China,Medium,1952,50-54,0.829
China,Medium,1953,10-14,1.329
China,Medium,1953,15-19,88.204
China,Medium,1953,20-24,276.613
China,Medium,1953,25-29,283.868
China,Medium,1953,30-34,240.734
China,Medium,1953,35-39,194.08
China,Medium,1953,40-44,105.67
China,Medium,1953,45-49,17.845
China,Medium,1953,50-54,0.682
China,Medium,1954,10-14,1.365
China,Medium,1954,15-19,91.27
China,Medium,1954,20-24,286.417
China,Medium,1954,25-29,293.702
China,Medium,1954,30-34,251.379
China,Medium,1954,35-39,201.946
China,Medium,1954,40-44,111.771
China,Medium,1954,45-49,19.159
China,Medium,1954,50-54,0.747
China,Medium,1955,10-14,1.282
China,Medium,1955,15-19,88.588
China,Medium,1955,20-24,285.863
China,Medium,1955,25-29,295.459
China,Medium,1955,30-34,252.766
China,Medium,1955,35-39,201.575
China,Medium,1955,40-44,110.729
China,Medium,1955,45-49,18.841
China,Medium,1955,50-54,0.732
China,Medium,1956,10-14,0.951
China,Medium,1956,15-19,78.48
China,Medium,1956,20-24,270.801
China,Medium,1956,25-29,282.792
China,Medium,1956,30-34,237.431
China,Medium,1956,35-39,187.241
China,Medium,1956,40-44,98.927
China,Medium,1956,45-49,15.813
China,Medium,1956,50-54,0.578
China,Medium,1957,10-14,0.988
China,Medium,1957,15-19,83.387
China,Medium,1957,20-24,293.195
China,Medium,1957,25-29,303.473
China,Medium,1957,30-34,265.974
China,Medium,1957,35-39,208.688
China,Medium,1957,40-44,111.136
China,Medium,1957,45-49,18.6
China,Medium,1957,50-54,0.728
China,Medium,1958,10-14,0.621
China,Medium,1958,15-19,70.039
China,Medium,1958,20-24,265.125
China,Medium,1958,25-29,278.637
China,Medium,1958,30-34,237.128
China,Medium,1958,35-39,183.143
China,Medium,1958,40-44,91.363
China,Medium,1958,45-49,13.958
China,Medium,1958,50-54,0.475
China,Medium,1959,10-14,0.335
China,Medium,1959,15-19,56.013
China,Medium,1959,20-24,230.24
China,Medium,1959,25-29,243.568
China,Medium,1959,30-34,196.124
China,Medium,1959,35-39,142.566
China,Medium,1959,40-44,66.686
China,Medium,1959,45-49,9.512
China,Medium,1959,50-54,0.318
China,Medium,1960,10-14,0.245
China,Medium,1960,15-19,51.059
China,Medium,1960,20-24,221.323
China,Medium,1960,25-29,234.916
China,Medium,1960,30-34,184.564
China,Medium,1960,35-39,131.387
China,Medium,1960,40-44,60.287
China,Medium,1960,45-49,8.346
China,Medium,1960,50-54,0.286
China,Medium,1961,10-14,0.199
China,Medium,1961,15-19,44.334
China,Medium,1961,20-24,200.884
China,Medium,1961,25-29,214.426
China,Medium,1961,30-34,155.753
China,Medium,1961,35-39,104.208
China,Medium,1961,40-44,46.664
China,Medium,1961,45-49,6.335
China,Medium,1961,50-54,0.257
China,Medium,1962,10-14,0.362
China,Medium,1962,15-19,66.365
China,Medium,1962,20-24,290.499
China,Medium,1962,25-29,306.645
China,Medium,1962,30-34,254.917
China,Medium,1962,35-39,189.52
China,Medium,1962,40-44,92.894
China,Medium,1962,45-49,13.101
China,Medium,1962,50-54,0.428
China,Medium,1963,10-14,0.604
China,Medium,1963,15-19,83.276
China,Medium,1963,20-24,356.236
China,Medium,1963,25-29,369.569
China,Medium,1963,30-34,314.075
China,Medium,1963,35-39,233.372
China,Medium,1963,40-44,121.536
China,Medium,1963,45-49,19.102
China,Medium,1963,50-54,0.766
China,Medium,1964,10-14,0.321
China,Medium,1964,15-19,69.4
China,Medium,1964,20-24,324.947
China,Medium,1964,25-29,331.889
China,Medium,1964,30-34,279.639
China,Medium,1964,35-39,205.774
China,Medium,1964,40-44,102.464
China,Medium,1964,45-49,15.249
China,Medium,1964,50-54,0.625
China,Medium,1965,10-14,0.194
China,Medium,1965,15-19,59.938
China,Medium,1965,20-24,317.941
China,Medium,1965,25-29,336.086
China,Medium,1965,30-34,278.048
